#,Attack type,Concrete incident,Platform / project,Approx. damages,Signal (volume/frequency change),Citation/search hint,Approximate date
1,DDoS / DoS on exchanges,Repeated DDoS against Bitfinex disrupting trading,Bitfinex (CEX),Not publicly quantified in $; trading downtime and user impact,Sudden spike in HTTP/API requests and network traffic to exchange frontends and APIs,Search: Bitfinex DDoS attack 2017,2017-08
2,DDoS / DoS on exchanges,DDoS attacks on OKEx impacting availability,OKEx (CEX),Not publicly quantified in $; primarily service disruption and reputational impact,Volume spike in traffic to trading APIs and web interface,Search: OKEx DDoS attack trading disruption,2017-2019 (multiple)
3,DDoS / DoS via spam on L1,Ethereum “spam attacks” causing gas spikes,Ethereum,No direct theft; high gas costs and degraded UX (millions in aggregate gas costs),"Very high rate of transactions / calls, abnormal mempool growth",Search: Ethereum 2016 spam attacks gas price,2016-09 to 2016-10
4,DDoS / spam on validators,Transaction spam leading to Solana outages,Solana,No direct theft; economic impact via downtime and liquidations (not precisely quantified),Sudden surge in TPS / RPC calls overwhelming validators,Search: Solana network outage transaction spam 2021 2022,2021-09; 2021-12; 2022-01
5,Brute force / credential + API abuse,Binance incident involving API key abuse after phishing/credential theft,Binance,Approx. $40M BTC theft (covered by SAFU),Spike in abnormal API trading / withdrawal activity per compromised accounts,Search: Binance 2019 7000 BTC hack SAFU,2019-05-07
6,Brute force on infra → mining malware,SSH brute-force + misconfig leading to crypto-mining malware on cloud/K8s,Various infra,Varies widely; some public cases tens–hundreds of thousands USD per org,Spike in failed SSH logins and new outbound mining connections and CPU usage,Search: Kubernetes cryptomining malware cloud bill,2018-2023 (ongoing)
7,Port scanning → exposed JSON-RPC exploitation,Draining wallets via exposed Ethereum JSON-RPC,Ethereum nodes,Per-node losses from thousands to millions USD,Increased connection attempts to JSON-RPC ports across IP ranges,Search: Ethereum exposed JSON-RPC wallet drained,2017-2022 (multiple)
8,Port scanning / probing node ports,Internet-wide scans for Bitcoin/Ethereum node ports,"Bitcoin, Ethereum, others",Reconnaissance; losses only when combined with exploits/misconfig,Many connection attempts to standard P2P ports,Search: internet-wide scan bitcoin ethereum node measurement,Ongoing since ~2014
9,Malware / botnets for illicit mining,XMRig-based botnets mining Monero on compromised infra,"Mainly Monero (mined), any infra",Aggregate campaigns in millions USD illicit revenue; per victim tens–hundreds of thousands,"Spike in CPU, outbound connections to mining pools, mining share submissions",Search: XMRig botnet cryptomining malware campaign,2017-2023 (multiple)
10,Wallet-stealing malware,Mars Stealer / RedLine and similar stealing wallets and seeds,Multi-chain wallets,Multi-million USD aggregate theft across victims,Increase in outbound C2 traffic and subsequent on-chain transfers from victims,Search: Mars Stealer crypto wallet; RedLine stealer cryptocurrency,2021-2023 (multiple)
11,High-volume KYC data exfiltration,Binance KYC data leak (from a vendor),Binance,Blackmailer demanded ~ $3M in BTC; primarily data/privacy impact,Large data transfer / exfiltration from KYC/identity storage or vendor systems,Search: Binance KYC data leak 2019,2019-08
12,Exchange backend compromise and exfil / theft,Coincheck NEM hack,Coincheck,~$530M equivalent in XEM at time of hack,Large unauthorized transfers from hot wallet,Search: Coincheck NEM hack 530 million,2018-01-26
13,Exchange backend compromise and exfil / theft,KuCoin hack,KuCoin,~$275–280M in tokens (large portion later recovered),Abnormal withdrawal/transfer volume from hot wallets,Search: KuCoin 2020 hack 280 million,2020-09-25
14,Exchange backend compromise,Mt. Gox collapse (breach + long-term leakage),Mt. Gox,Commonly cited ~$450–500M at historic prices,Abnormal outflows over time; withdrawals not matched by customer activity,Search: Mt. Gox hack analysis stolen bitcoin,2011–2014 (leakage); 2014-02 (collapse)
15,Web/API abuse / scraping,Order-book / price API abuse on major exchanges (rate-limit outages),Multiple CEX / indexers,Not reported as direct $ loss; downtime and lost opportunities,"Elevated API request rate from specific IPs/agents, increased HTTP 429",Search: crypto exchange API overload rate limit incident,2017-2023 (various)
16,Web/API abuse on DeFi frontends,NFT mint “gas wars” & bot swarms around high-profile mints,"Ethereum, Solana NFT mints",Users waste millions in aggregate gas across major cycles,Surges in HTTP requests to /mint plus massive on-chain tx bursts,Search: NFT mint gas war failed transactions; Solana NFT botting,2020-2022 (multiple)
17,Abuse of public RPC/indexing APIs,"Heavy abuse of free RPC nodes (Infura, Alchemy, etc.)","Ethereum, Polygon, others",Provider infra costs and outages; not public per-incident $,High QPS on RPC methods from few clients,Search: Infura outage heavy traffic; public Ethereum RPC abuse,2017-2023 (various)
18,Lateral movement → hot wallet compromise,Crypto.com hack (MFA bypass and internal compromise),Crypto.com,~$30–35M stolen (later refunded/recovered),Abnormal withdrawal patterns from user accounts and internal wallets,Search: Crypto.com 2022 hack 35 million,2022-01-17
19,Lateral movement / internal compromise,FTX collapse (fraud + late 2022 “hack”/outflows),FTX,Billions in user funds missing; ~ $400M+ suspicious outflows in “hack” phase,Massive unauthorized withdrawals and internal transfers,Search: FTX hack 400 million; FTX missing customer funds,2022-11-11 to 2022-11-12 (hack); earlier for misuse
20,Lateral movement in validator / staking infra,Validator key compromises on various PoS chains,Various PoS networks,Per incident: hundreds of thousands to millions (slashing + stolen funds),"Spikes in internal admin connections to validator/HSM/KMS servers, abnormal signing",Search: validator key compromise slashing; staking provider hack,2019-2023 (various)
21,Phishing at wallet users,Ledger phishing campaign (post customer data leak),Ledger users,Individual losses from hundreds to hundreds of thousands; aggregate in millions,Spike in phishing emails/SMS directing to fake Ledger sites,Search: Ledger phishing campaign 2020; Ledger customer data leak,2020-07 (data leak) and subsequent months of phishing
22,Phishing against exchange users,Binance / Coinbase phishing campaigns,"Binance, Coinbase",Aggregate multi-million across many victims; no single definitive figure,Increased phishing emails and hits on lookalike domains; abnormal login attempts,Search: Binance phishing kit; Coinbase phishing scam,2017-2023 (ongoing)
23,Policy violations / insider misuse,"Insider misuse at crypto firms (e.g., trading on confidential listings)",Multiple firms,Regulatory fines (millions) and unquantified reputational damage,"Spike in internal data access, use of privileged dashboards, unusual admin ops",Search: crypto insider trading Coinbase; crypto exchange employee misused data,2018-2022 (various)
24,Insider / admin withdrawal abuse,Centralized service “rug pulls” or fraudulent admin withdrawals,Various centralized platforms,Per-platform: millions to hundreds of millions depending on TVL,Sudden large withdrawal bursts by admin wallets/API keys,Search: <platform> rug pull centralized exchange; <name> exit scam,2017-2023 (various)
25,Airdrop/claim bots → effective DoS,Arbitrum airdrop claim congestion,Arbitrum,No direct theft; users incur significant gas/opportunity costs (millions overall),High QPS to /claim endpoints plus huge on-chain claim transaction spikes,Search: Arbitrum airdrop claim congestion bots,2023-03-23
